bucket_ids,bucket_name,URL,repName,repemail,expected_per_day,is_event,met_expectations
Sor4iKP784Fj24uC5,Planet Fitness - 1750 MN-36,https://portal.eltoro.com/bucket/Sor4iKP784Fj24uC5,Clay,clay@eltoro.com,,,
EM4dT32PPe2ZhgRo2,LA Fitness - 2420 Cleveland Ave N,https://portal.eltoro.com/bucket/EM4dT32PPe2ZhgRo2,Clay,clay@eltoro.com,,,
JeuaNSipgLAH287Co,Timberwolf Fitness - 2001 County Rd C2 W,https://portal.eltoro.com/bucket/JeuaNSipgLAH287Co,Clay,clay@eltoro.com,,,
seFfC533BxK2XDZgh,Lifetime Fitness - 4800 White Bear Pkwy,https://portal.eltoro.com/bucket/seFfC533BxK2XDZgh,Clay,clay@eltoro.com,,,
qpqXcZa8guodQJXcq,Shoreview Community Center - 4600 Victory Street North,https://portal.eltoro.com/bucket/qpqXcZa8guodQJXcq,Clay,clay@eltoro.com,,,
yzMKspvaGx8MCxjCf,BioLife Plasma - 2325 Mounds View Blvd,https://portal.eltoro.com/bucket/yzMKspvaGx8MCxjCf,Clay,clay@eltoro.com,,,
acdqEExCtzweQBEu9,"American Red Cross Blood Donation Center - 1160 West, County Rd E",https://portal.eltoro.com/bucket/acdqEExCtzweQBEu9,Clay,clay@eltoro.com,,,
vu8k7tvFdKAdLT4DY,Memorial Blood - 737 Pelham Blvd,https://portal.eltoro.com/bucket/vu8k7tvFdKAdLT4DY,Clay,clay@eltoro.com,,,
ErSsNQ3yBxjH5JeBg,American Red Cross - 1201 W River Pkwy,https://portal.eltoro.com/bucket/ErSsNQ3yBxjH5JeBg,Clay,clay@eltoro.com,,,
mtQimWryi2xQBZSAT,Memorial Blood - 737 Pelham Blvd Clone - 19th Jan 2023,https://portal.eltoro.com/bucket/mtQimWryi2xQBZSAT,Clay,clay@eltoro.com,,,
hWBpeiiMFu2dseaXj,American Red Cross - 1201 W River Pkwy Clone - 19th Jan 2023,https://portal.eltoro.com/bucket/hWBpeiiMFu2dseaXj,Clay,clay@eltoro.com,,,
bv4PjaRv7Syoez5es,Freemont Skatepark,https://portal.eltoro.com/bucket/bv4PjaRv7Syoez5es,Clay,clay@eltoro.com,,,
kXTjpXjYo7PWSEgZQ,Encinitas YMCA skate Park,https://portal.eltoro.com/bucket/kXTjpXjYo7PWSEgZQ,Clay,clay@eltoro.com,,,
4dBRE4QyJmA5PfWP5,Shoreview YMCA - 3760 Lexington Avenue North,https://portal.eltoro.com/bucket/4dBRE4QyJmA5PfWP5,Clay,clay@eltoro.com,,,
aGRZgsMdyFk28JJaR,LA Fitness - 1101 Silver Lake Rd NW,https://portal.eltoro.com/bucket/aGRZgsMdyFk28JJaR,Clay,clay@eltoro.com,,,
daysc3J6czkuJQ9Ny,GG NFA PCCH,https://portal.eltoro.com/bucket/daysc3J6czkuJQ9Ny,Clay,clay@eltoro.com,,,
8bi3tYFrcLgpAwpNg,GG NFA PCCH 2,https://portal.eltoro.com/bucket/8bi3tYFrcLgpAwpNg,Clay,clay@eltoro.com,,,
Y3yKitGp5uHytZ6Xu,GG NFA St Thomas Nursery,https://portal.eltoro.com/bucket/Y3yKitGp5uHytZ6Xu,Clay,clay@eltoro.com,,,
ehQoKjd9Desi26hfp,GG NFA St Pauls Nursery,https://portal.eltoro.com/bucket/ehQoKjd9Desi26hfp,Clay,clay@eltoro.com,,,
5rt7YGYHojNfZ8k7E,GG NFA Schoolhouse,https://portal.eltoro.com/bucket/5rt7YGYHojNfZ8k7E,Clay,clay@eltoro.com,,,
dg5kdikYdsdEFmkWx,GG NFA Top of the Hill,https://portal.eltoro.com/bucket/dg5kdikYdsdEFmkWx,Clay,clay@eltoro.com,,,
cfBwFyZcFZzMtQT3A,GG NFA Little Bird Nursery,https://portal.eltoro.com/bucket/cfBwFyZcFZzMtQT3A,Clay,clay@eltoro.com,,,
FxTSz3ywPX4Qnc6um,GG NFA St Peters,https://portal.eltoro.com/bucket/FxTSz3ywPX4Qnc6um,Clay,clay@eltoro.com,,,
rmvCi5mnPtotB6xFp,GG NFA The Big Backyard,https://portal.eltoro.com/bucket/rmvCi5mnPtotB6xFp,Clay,clay@eltoro.com,,,
tBtDAz4HqED7HQWWp,GG NFA Schuykill Ctr,https://portal.eltoro.com/bucket/tBtDAz4HqED7HQWWp,Clay,clay@eltoro.com,,,
KscHov2RF7ry692PY,yum,https://portal.eltoro.com/bucket/KscHov2RF7ry692PY,Clay,clay@eltoro.com,,,
Ljw5tPyewh8CB8JJj,GG NFA HH Houston Elem,https://portal.eltoro.com/bucket/Ljw5tPyewh8CB8JJj,Clay,clay@eltoro.com,,,
zfc2a7CPiqYbnxGTC,GG NFA Enfield Elem,https://portal.eltoro.com/bucket/zfc2a7CPiqYbnxGTC,Clay,clay@eltoro.com,,,
CaqCkFn8JvL37mHke,GG NFA JS Jenks Elem,https://portal.eltoro.com/bucket/CaqCkFn8JvL37mHke,Clay,clay@eltoro.com,,,
