bucket_ids,bucket_name,URL,repName,repemail,expected_per_day,is_event,met_expectations
DXKqXqJpx57rrwWzd,"GHF Competitors (Mattress Firm - Winchester, VA) (Oct. 1-Dec. 28)",https://portal.eltoro.com/bucket/DXKqXqJpx57rrwWzd,Sean Howard,showard@eltoro.com,,,
agfwsLsYcm2ix8PQG,Cuyahoga Community College (Cleveland),https://portal.eltoro.com/bucket/agfwsLsYcm2ix8PQG,Sean Howard,showard@eltoro.com,,,
JrMgHRfrhAJYmDoC4,Red Oak Bank Iowa Prospects - Town,https://portal.eltoro.com/bucket/JrMgHRfrhAJYmDoC4,Sean Howard,showard@eltoro.com,,,
63Ga2iq8i9j7nMwDD,"GHF Competitors (Ashley - Harrisonburg, VA) (Oct. 1-Dec. 28) Clone - 4th Jan 2023",https://portal.eltoro.com/bucket/63Ga2iq8i9j7nMwDD,Sean Howard,showard@eltoro.com,,,
Rj543AjborCxTCnmD,"GHF Competitors (Big Lots - Charlottesville, VA) (Oct. 1-Dec. 28) Clone - 4th Jan 2023",https://portal.eltoro.com/bucket/Rj543AjborCxTCnmD,Sean Howard,showard@eltoro.com,,,
vSHrWcsbxD9cxLMFE,"GHF Competitors (Big Lots - Harrisonburg, VA) (Oct. 1-Dec. 28) Clone - 4th Jan 2023",https://portal.eltoro.com/bucket/vSHrWcsbxD9cxLMFE,Sean Howard,showard@eltoro.com,,,
CpBjBseEZCpTbr4Hm,"GHF Competitors (Havertys - Charlottesville, VA) (Oct. 1-Dec. 28) Clone - 4th Jan 2023",https://portal.eltoro.com/bucket/CpBjBseEZCpTbr4Hm,Sean Howard,showard@eltoro.com,,,
MjHcyasjeM8S9MsqM,"GHF Competitors (Mattress Firm - Harrisonburg, VA) (Oct. 1-Dec. 28) Clone - 4th Jan 2023",https://portal.eltoro.com/bucket/MjHcyasjeM8S9MsqM,Sean Howard,showard@eltoro.com,,,
qFiERiofpuHakPh26,"GHF Competitors (Mattress Firm Olympia - Charlottesville, VA) (Oct. 1-Dec. 28) Clone - 4th Jan 2023",https://portal.eltoro.com/bucket/qFiERiofpuHakPh26,Sean Howard,showard@eltoro.com,,,
9MBTSGTbt6cYwqRXw,"GHF Competitors (Mattress Firm Rio - Charlottesville, VA) (Oct. 1-Dec. 28) Clone - 4th Jan 2023",https://portal.eltoro.com/bucket/9MBTSGTbt6cYwqRXw,Sean Howard,showard@eltoro.com,,,
hDyZmkbnYu6wteRXR,"GHF Competitors (Mattress Outlet - Harrisonburg, VA) (Oct. 1-Dec. 28) Clone - 4th Jan 2023",https://portal.eltoro.com/bucket/hDyZmkbnYu6wteRXR,Sean Howard,showard@eltoro.com,,,
89tndFjpZCRAKs4fn,"GHF Competitors (Mattress Warehouse - Harrisonburg, VA) (Oct. 1-Dec. 28) Clone - 4th Jan 2023",https://portal.eltoro.com/bucket/89tndFjpZCRAKs4fn,Sean Howard,showard@eltoro.com,,,
9DoFhrbKyTo9BS942,"GHF Competitors (Mattress Warehouse Merchant - Charlottesville, VA) (Oct. 1-Dec. 28) Clone - 4th Jan 2023",https://portal.eltoro.com/bucket/9DoFhrbKyTo9BS942,Sean Howard,showard@eltoro.com,,,
rC4chae7iYyoRZXez,"GHF Competitors (Mattress Warehouse Seminole - Charlottesville, VA) (Oct. 1-Dec. 28) Clone - 4th Jan 2023",https://portal.eltoro.com/bucket/rC4chae7iYyoRZXez,Sean Howard,showard@eltoro.com,,,
uHMLpCqfisYyCXPzT,"GHF Competitors (Sleep Number - Harrisonburg, VA) (Oct. 1-Dec. 28) Clone - 4th Jan 2023",https://portal.eltoro.com/bucket/uHMLpCqfisYyCXPzT,Sean Howard,showard@eltoro.com,,,
R3JdPQRe94AQczwR9,"GHF Competitors (Mattress Warehouse - Harrisonburg, VA) (Oct. 1-Dec. 28) Clone - 4th Jan 2023",https://portal.eltoro.com/bucket/R3JdPQRe94AQczwR9,Sean Howard,showard@eltoro.com,,,
ivZhw3pcHYk8Dbvpw,"GHF Competitors (Badcock - Bristol, VA) (Oct. 1-Dec. 28) Clone - 4th Jan 2023",https://portal.eltoro.com/bucket/ivZhw3pcHYk8Dbvpw,Sean Howard,showard@eltoro.com,,,
42KiLddoqk7Qd9mic,"GHF Competitors (Big Lots - Bristol, VA) (Oct. 1-Dec. 28) Clone - 4th Jan 2023",https://portal.eltoro.com/bucket/42KiLddoqk7Qd9mic,Sean Howard,showard@eltoro.com,,,
Q2muTftJJduz8J5Yp,"GHF Competitors (Ashley - Bristol, VA) (Oct. 1-Dec. 28) Clone - 4th Jan 2023",https://portal.eltoro.com/bucket/Q2muTftJJduz8J5Yp,Sean Howard,showard@eltoro.com,,,
4DpF3PJHJJqJNQ9xJ,"GHF Competitors (Mattress Firm - Bristol, VA) (Oct. 1-Dec. 28) Clone - 4th Jan 2023",https://portal.eltoro.com/bucket/4DpF3PJHJJqJNQ9xJ,Sean Howard,showard@eltoro.com,,,
wGG9GoetanDKGX2nS,"GHF Competitors (Big Lots - Kingsport, TN) (Oct. 1-Dec. 28) Clone - 4th Jan 2023",https://portal.eltoro.com/bucket/wGG9GoetanDKGX2nS,Sean Howard,showard@eltoro.com,,,
3YEwcZfqWoBWH2mwR,"GHF Competitors (Farmers - Kingsport, TN) (Oct. 1-Dec. 28) Clone - 4th Jan 2023",https://portal.eltoro.com/bucket/3YEwcZfqWoBWH2mwR,Sean Howard,showard@eltoro.com,,,
hb8xr9nYhTdNYQE48,"GHF Competitors (Ashley - Kingsport, TN) (Oct. 1-Dec. 28) Clone - 4th Jan 2023",https://portal.eltoro.com/bucket/hb8xr9nYhTdNYQE48,Sean Howard,showard@eltoro.com,,,
7LNPgxHpApQzQBRBC,"GHF Competitors (Big Lots - Kingsport, TN) (Oct. 1-Dec. 28) Clone - 4th Jan 2023",https://portal.eltoro.com/bucket/7LNPgxHpApQzQBRBC,Sean Howard,showard@eltoro.com,,,
zWAGgQhcRaiEtQEZH,"GHF Competitors (Mattress Firm - Johnson City, TN) (Oct. 1-Dec. 28) Clone - 4th Jan 2023",https://portal.eltoro.com/bucket/zWAGgQhcRaiEtQEZH,Sean Howard,showard@eltoro.com,,,
oFwu3RrCBWvpk5JKa,"GHF Competitors (Sleep Number - Johnson City, TN) (Oct. 1-Dec. 28) Clone - 4th Jan 2023",https://portal.eltoro.com/bucket/oFwu3RrCBWvpk5JKa,Sean Howard,showard@eltoro.com,,,
sNoHFYLkNwpPQJ3g4,"GHF Competitors (Big Lots / Badcock - Johnson City, TN) (Oct. 1-Dec. 28) Clone - 4th Jan 2023",https://portal.eltoro.com/bucket/sNoHFYLkNwpPQJ3g4,Sean Howard,showard@eltoro.com,,,
B2a2LgyjQJkqz8qsK,"GHF Competitors (Big Lots / Ashley - Wise, VA) (Oct. 1-Dec. 28) Clone - 4th Jan 2023",https://portal.eltoro.com/bucket/B2a2LgyjQJkqz8qsK,Sean Howard,showard@eltoro.com,,,
AwK9b5XkKjihsJSra,"GHF Competitors (Mattress Outlet - Johnson City, TN) (Oct. 1-Dec. 28) Clone - 4th Jan 2023",https://portal.eltoro.com/bucket/AwK9b5XkKjihsJSra,Sean Howard,showard@eltoro.com,,,
wHMLWecaKTKPiqeaf,"GHF Competitors (Ashley - Johnson City, TN) (Oct. 1-Dec. 28) Clone - 4th Jan 2023",https://portal.eltoro.com/bucket/wHMLWecaKTKPiqeaf,Sean Howard,showard@eltoro.com,,,
TKQEJihJE4rgGbwJY,"GHF Competitors (Zaks Home - Johnson City, TN) (Oct. 1-Dec. 28) Clone - 4th Jan 2023",https://portal.eltoro.com/bucket/TKQEJihJE4rgGbwJY,Sean Howard,showard@eltoro.com,,,
fhSMdMXSP9ktFDt7M,"GHF Competitors (Big Lots - Princeton, WV) (Oct. 1-Dec. 28) Clone - 4th Jan 2023",https://portal.eltoro.com/bucket/fhSMdMXSP9ktFDt7M,Sean Howard,showard@eltoro.com,,,
7tamrNGvE2dieSeGC,"GHF Competitors (Kammer - Princeton, WV) (Oct.1-Dec. 28) Clone - 4th Jan 2023",https://portal.eltoro.com/bucket/7tamrNGvE2dieSeGC,Sean Howard,showard@eltoro.com,,,
XyuCYfyNNqReCsEg5,"GHF Competitors (Sealy - Princeton, WV) (Oct. 1-Dec. 28) Clone - 4th Jan 2023",https://portal.eltoro.com/bucket/XyuCYfyNNqReCsEg5,Sean Howard,showard@eltoro.com,,,
z7ALKmJasazemQqwc,"GHF Competitors (Ashley - Beckley, WV) (Oct. 1-Dec. 28) Clone - 4th Jan 2023",https://portal.eltoro.com/bucket/z7ALKmJasazemQqwc,Sean Howard,showard@eltoro.com,,,
AsyZsPNNr3ntvsMsm,"GHF Competitors (Big Lots - Beckley, WV) (Oct. 1-Dec. 28) Clone - 4th Jan 2023",https://portal.eltoro.com/bucket/AsyZsPNNr3ntvsMsm,Sean Howard,showard@eltoro.com,,,
A7JgT7sZv56itBknC,"GHF Competitors (Badcock - Waynesboro, VA) (Oct. 1-Dec. 28) Clone - 4th Jan 2023",https://portal.eltoro.com/bucket/A7JgT7sZv56itBknC,Sean Howard,showard@eltoro.com,,,
A3d5pqgDx97No2d5R,"GHF Competitors (Big Lots - Waynesboro, VA) (Oct. 1-Dec. 28) Clone - 4th Jan 2023",https://portal.eltoro.com/bucket/A3d5pqgDx97No2d5R,Sean Howard,showard@eltoro.com,,,
N72R2LSMYZui7J3AT,"GHF Competitors (Ashley - Waynesboro, VA) (Oct.1-Dec. 28) Clone - 4th Jan 2023",https://portal.eltoro.com/bucket/N72R2LSMYZui7J3AT,Sean Howard,showard@eltoro.com,,,
uLNgKnZYFoMz9bd3W,"GHF Competitors (Mattress Warehouse - Waynesboro, VA) (Oct. 1-Dec. 28) Clone - 4th Jan 2023",https://portal.eltoro.com/bucket/uLNgKnZYFoMz9bd3W,Sean Howard,showard@eltoro.com,,,
d4bnkxGNHx6eYry58,"GHF Competitors (Mattress Warehouse of Staunton - Waynesboro, VA) (Oct. 1-Dec. 28) Clone - 4th Jan 2023",https://portal.eltoro.com/bucket/d4bnkxGNHx6eYry58,Sean Howard,showard@eltoro.com,,,
5u82vG35vu7rLGZHP,"GHF Competitors (Mattress Warehouse Towne Square - Roanoke, VA) (Oct. 1-Dec. 28) Clone - 4th Jan 2023",https://portal.eltoro.com/bucket/5u82vG35vu7rLGZHP,Sean Howard,showard@eltoro.com,,,
GGHTfvPYan3feo7fS,"GHF Competitors (Mattress Warehouse Valley View - Roanoke, VA) (Oct. 1-Dec. 28) Clone - 4th Jan 2023",https://portal.eltoro.com/bucket/GGHTfvPYan3feo7fS,Sean Howard,showard@eltoro.com,,,
