bucket_ids,bucket_name,URL,repName,repemail,expected_per_day,is_event,met_expectations
spC8J56mEG9p5voCd,"Hughes Brothers 	  210 N 13th Street  and 168 N 11th Street – Seward, NE 68434",https://portal.eltoro.com/bucket/spC8J56mEG9p5voCd,Stacy Griggs,stacy@eltoro.com,,,
hiynjSHzHXNtPChuD,"OPPD	 7264 L Road – Nebraska City, NE 68410",https://portal.eltoro.com/bucket/hiynjSHzHXNtPChuD,Stacy Griggs,stacy@eltoro.com,,,
peZDZSqG5ktNHLMyf,NADA,https://portal.eltoro.com/bucket/peZDZSqG5ktNHLMyf,Stacy Griggs,stacy@eltoro.com,,,
xAnj2cW24Ch8zezfE,El Toro HQ Test,https://portal.eltoro.com/bucket/xAnj2cW24Ch8zezfE,Stacy Griggs,stacy@eltoro.com,,,
HhcvLsgwugWsG4KQd,ET HQ 2,https://portal.eltoro.com/bucket/HhcvLsgwugWsG4KQd,Stacy Griggs,stacy@eltoro.com,,,
33fYYc5eA7cfsySDs,farm show Clone - 21st Feb 2023,https://portal.eltoro.com/bucket/33fYYc5eA7cfsySDs,Stacy Griggs,stacy@eltoro.com,,,
M36zQximrJYfrZakX,Indiana Historical Society,https://portal.eltoro.com/bucket/M36zQximrJYfrZakX,Stacy Griggs,stacy@eltoro.com,,,
xPT5J32dhkYQRAxSi,Ford UAW Fren Valley,https://portal.eltoro.com/bucket/xPT5J32dhkYQRAxSi,Stacy Griggs,stacy@eltoro.com,,,
MAeu94b2FHD99d9LA,Ford UAW Cumberland Lane,https://portal.eltoro.com/bucket/MAeu94b2FHD99d9LA,Stacy Griggs,stacy@eltoro.com,,,
pufPJ6TKm6cK8acfh,Indiana Historical Society Clone - 6th Apr 2023,https://portal.eltoro.com/bucket/pufPJ6TKm6cK8acfh,Stacy Griggs,stacy@eltoro.com,,,
tKtGuBCTQ4GbpfdpG,Cancun,https://portal.eltoro.com/bucket/tKtGuBCTQ4GbpfdpG,Stacy Griggs,stacy@eltoro.com,,,
LJXWbdYz5fZYQ6H84,Atlanta Motor Club,https://portal.eltoro.com/bucket/LJXWbdYz5fZYQ6H84,Stacy Griggs,stacy@eltoro.com,,,
cfEcmZGP2mBhCeqw5,Banner @ Venue Replay @,https://portal.eltoro.com/bucket/cfEcmZGP2mBhCeqw5,Stacy Griggs,stacy@eltoro.com,,,
Lu8JQtdbSjjRtjJnt,VR TechValid Zip20208,https://portal.eltoro.com/bucket/Lu8JQtdbSjjRtjJnt,Stacy Griggs,stacy@eltoro.com,,,
xTmsegh8Nu4XTDmxy,Tech Valid Venue Replay ZIp40208,https://portal.eltoro.com/bucket/xTmsegh8Nu4XTDmxy,Stacy Griggs,stacy@eltoro.com,,,
4FddcCnyKhDnYWybd,Segments-DO NOT PACE-,https://portal.eltoro.com/bucket/4FddcCnyKhDnYWybd,Stacy Griggs,stacy@eltoro.com,,,
87pPm4o2ncDSDkPgq,"1625 Butts Ave, Tomah, WI 54660",https://portal.eltoro.com/bucket/87pPm4o2ncDSDkPgq,Stacy Griggs,stacy@eltoro.com,,,
7EDnJMqG5djFSkPot,"748 Fairway Dr, Rock Valley, IA 51247",https://portal.eltoro.com/bucket/7EDnJMqG5djFSkPot,Stacy Griggs,stacy@eltoro.com,,,
tsT7D3HzhjAT8fNni,"310 N Horton Pkwy, Chapel Hill, TN 37034",https://portal.eltoro.com/bucket/tsT7D3HzhjAT8fNni,Stacy Griggs,stacy@eltoro.com,,,
QS4cSqZNQjJYhAXPi,"3000 E Grand Ave, Des Moines, IA 50317",https://portal.eltoro.com/bucket/QS4cSqZNQjJYhAXPi,Stacy Griggs,stacy@eltoro.com,,,
aZTcnNoSHvTxpCn8F,"701 US-275, Wisner, NE 68791",https://portal.eltoro.com/bucket/aZTcnNoSHvTxpCn8F,Stacy Griggs,stacy@eltoro.com,,,
85iNefjeKLTqDHjxB,"1150 Haskins Rd, Bowling Green, OH 43402",https://portal.eltoro.com/bucket/85iNefjeKLTqDHjxB,Stacy Griggs,stacy@eltoro.com,,,
AKarHygffNygFpB9t,"501 E. Fonner Park Road, #200. Grand Island, Nebraska",https://portal.eltoro.com/bucket/AKarHygffNygFpB9t,Stacy Griggs,stacy@eltoro.com,,,
fGkY64aNLZocMybav,Wyoming Republican Party,https://portal.eltoro.com/bucket/fGkY64aNLZocMybav,Stacy Griggs,stacy@eltoro.com,,,
iQzd6wNQ8D9dYDpKg,Wisconsin Republican Party,https://portal.eltoro.com/bucket/iQzd6wNQ8D9dYDpKg,Stacy Griggs,stacy@eltoro.com,,,
SwbwBP3undxkHNgB9,Nebraska Republican Party,https://portal.eltoro.com/bucket/SwbwBP3undxkHNgB9,Stacy Griggs,stacy@eltoro.com,,,
zF594ioxw65dzqvzk,Nevada Republican Party,https://portal.eltoro.com/bucket/zF594ioxw65dzqvzk,Stacy Griggs,stacy@eltoro.com,,,
JTJyedJfdnAyXjBoq,New Hampshire Republican Party,https://portal.eltoro.com/bucket/JTJyedJfdnAyXjBoq,Stacy Griggs,stacy@eltoro.com,,,
Qt7GD2kCtu4a83X8c,Washington Republican Party,https://portal.eltoro.com/bucket/Qt7GD2kCtu4a83X8c,Stacy Griggs,stacy@eltoro.com,,,
hZ2c8A6GQ9BRHevMJ,New Jersey Republican Party,https://portal.eltoro.com/bucket/hZ2c8A6GQ9BRHevMJ,Stacy Griggs,stacy@eltoro.com,,,
i5i9XR3nmerA3mhCY,Virginia Republican Party,https://portal.eltoro.com/bucket/i5i9XR3nmerA3mhCY,Stacy Griggs,stacy@eltoro.com,,,
SxvzjnwtSfCrtR7k5,Utah Republican Party,https://portal.eltoro.com/bucket/SxvzjnwtSfCrtR7k5,Stacy Griggs,stacy@eltoro.com,,,
mNEpn5dAcC3yK8zDs,Tennessee Republican Party,https://portal.eltoro.com/bucket/mNEpn5dAcC3yK8zDs,Stacy Griggs,stacy@eltoro.com,,,
jd3X54qZBP9cvqRRe,New Mexico Republican Party,https://portal.eltoro.com/bucket/jd3X54qZBP9cvqRRe,Stacy Griggs,stacy@eltoro.com,,,
NqdwpMEs5eRzycKDs,South Dakota Republican Party,https://portal.eltoro.com/bucket/NqdwpMEs5eRzycKDs,Stacy Griggs,stacy@eltoro.com,,,
FCJnF9jgJn6hSKQuK,South Carolina Republican Party,https://portal.eltoro.com/bucket/FCJnF9jgJn6hSKQuK,Stacy Griggs,stacy@eltoro.com,,,
PXxtwGb9Lw7LGALme,Oklahoma Democratic Party,https://portal.eltoro.com/bucket/PXxtwGb9Lw7LGALme,Stacy Griggs,stacy@eltoro.com,,,
77ofncLXkh8tjA5bq,Delaware Republican Party,https://portal.eltoro.com/bucket/77ofncLXkh8tjA5bq,Stacy Griggs,stacy@eltoro.com,,,
6TKMDQwcGdtpYWoEx,Rhode Island Republican Party,https://portal.eltoro.com/bucket/6TKMDQwcGdtpYWoEx,Stacy Griggs,stacy@eltoro.com,,,
yguprgZfNNvT53gFZ,Pennsylvania Republican Party,https://portal.eltoro.com/bucket/yguprgZfNNvT53gFZ,Stacy Griggs,stacy@eltoro.com,,,
hTvW4KvzEuzJ5cBeb,Democratic Party of Oregon,https://portal.eltoro.com/bucket/hTvW4KvzEuzJ5cBeb,Stacy Griggs,stacy@eltoro.com,,,
4ZgCGm45MscEbykFA,Oregon Republican Party,https://portal.eltoro.com/bucket/4ZgCGm45MscEbykFA,Stacy Griggs,stacy@eltoro.com,,,
XzkFtSxdY35fHS6vr,North Dakota Democratic Nonpartisan League Party,https://portal.eltoro.com/bucket/XzkFtSxdY35fHS6vr,Stacy Griggs,stacy@eltoro.com,,,
