bucket_ids,bucket_name,URL,repName,repemail,expected_per_day,is_event,met_expectations
xEjwBa6PhJtRKAjR9,Banner @ Venue Replay @,https://portal.eltoro.com/bucket/xEjwBa6PhJtRKAjR9,William Bradford,william.bradford@eltoro.com,,,
yRKn5XgsZfJfCbbhf,Gauth - FabTech 11/22,https://portal.eltoro.com/bucket/yRKn5XgsZfJfCbbhf,William Bradford,william.bradford@eltoro.com,,,
ynyCYrpwDu2ohkxGw,Gauthier - FabTech 11/2022,https://portal.eltoro.com/bucket/ynyCYrpwDu2ohkxGw,William Bradford,william.bradford@eltoro.com,,,
2CYiSgrtTqYXiwz5J,WACO 2023,https://portal.eltoro.com/bucket/2CYiSgrtTqYXiwz5J,William Bradford,william.bradford@eltoro.com,,,
Mvfirzaf9oFcRmEsZ,TinCaps,https://portal.eltoro.com/bucket/Mvfirzaf9oFcRmEsZ,William Bradford,william.bradford@eltoro.com,,,
74tEXSmjxwAj9N3iy,TinCaps aug 30 - sept 4,https://portal.eltoro.com/bucket/74tEXSmjxwAj9N3iy,William Bradford,william.bradford@eltoro.com,,,
Y565Ltzfp9ZZZ2P8X,"75 1st St S, St. Petersburg, FL 33701",https://portal.eltoro.com/bucket/Y565Ltzfp9ZZZ2P8X,William Bradford,william.bradford@eltoro.com,,,
RFwR5PuNd6pznzAKC,"149 2nd St N, St. Petersburg, FL 33701",https://portal.eltoro.com/bucket/RFwR5PuNd6pznzAKC,William Bradford,william.bradford@eltoro.com,,,
8gGTX8bMqpEeMMuss,"8850 4th St N, St. Petersburg, FL 33702",https://portal.eltoro.com/bucket/8gGTX8bMqpEeMMuss,William Bradford,william.bradford@eltoro.com,,,
kFCCdtXkFR3fF6c7D,"1032 Dr M.L.K. Jr St N, St. Petersburg, FL 33705",https://portal.eltoro.com/bucket/kFCCdtXkFR3fF6c7D,William Bradford,william.bradford@eltoro.com,,,
KSKEtvj4fCyS42iFs,"4101 Central Ave N, St. Petersburg, FL 33713",https://portal.eltoro.com/bucket/KSKEtvj4fCyS42iFs,William Bradford,william.bradford@eltoro.com,,,
hjpfHqpe9znNy64yr,"5234 4th St N, St. Petersburg, FL 33703",https://portal.eltoro.com/bucket/hjpfHqpe9znNy64yr,William Bradford,william.bradford@eltoro.com,,,
RErqMHN9nqrT5szfg,"327 11th Ave N Suite 104, St. Petersburg, FL 33701",https://portal.eltoro.com/bucket/RErqMHN9nqrT5szfg,William Bradford,william.bradford@eltoro.com,,,
